lockL3,lockL4,lockL5,lockL6,station_eu_code
NA,NA,NA,0.503237234879,IT0863A
NA,NA,NA,NA,IT0867A
NA,NA,NA,NA,IT0871A
-0.18784045705341879,-0.2285409656419075,NA,NA,IT0885A
NA,NA,NA,NA,IT0888A
-0.1543923463685617,-0.23673927301480735,-0.17532231301955392,-0.18546678462667976,IT0953A
-0.1465772568123883,-0.20690345945273048,NA,NA,IT0991A
NA,NA,NA,NA,IT1200A
-0.29446810892170805,-0.4249832477375287,-0.3549011857911051,NA,IT1837A
NA,NA,NA,NA,IT2013A
-0.26458233608019777,-0.3390402114191936,-0.2215935430709579,NA,IT2171A
NA,NA,NA,NA,IT2174A
