lockL3,lockL4,lockL5,lockL6,station_eu_code
-0.24133946196786693,-0.24999097234364986,-0.30646128801204175,-0.2664467222473742,IT0643A
NA,NA,NA,NA,IT1114A
-0.2784703506370405,NA,NA,NA,IT1120A
-0.2897445744962567,-0.4079516675983049,NA,NA,IT1130A
-0.22139222342069576,-0.35992622469594104,NA,NA,IT1246A
-0.15804124414940812,-0.27623908083807813,NA,NA,IT1509A
-0.2787777251760265,-0.38362730580169524,-0.39924714793640825,NA,IT1510A
-0.22248357829394394,-0.3665001898332233,NA,NA,IT1524A
-0.1774115237795293,-0.36113570536369777,NA,0.1894620605731585,IT1529A
-0.4439742451118609,-0.6910716957060796,-0.383556118034057,NA,IT1532A
-0.30717767535452656,-0.4550193026625228,-0.32259914672544765,NA,IT1533A
NA,NA,NA,NA,IT1788A
-0.1323820609736147,NA,NA,NA,IT1830A
NA,NA,NA,NA,IT1847A
-0.24326454575650935,-0.3632087810316631,NA,NA,IT1877A
NA,NA,0.5291882023953525,0.7389120357238206,IT1904A
-0.3748105496154761,-0.5566218834811618,-0.42186495357026366,-0.3382116646193556,IT1011A
-0.402027213346421,-0.6879591212818521,-0.5690724087706358,NA,IT1180A
-0.44859194099969224,NA,NA,0.34749801436178496,IT1182A
NA,-0.25001847772192565,NA,NA,IT1365A
-0.1703205459902658,-0.3503017333006142,NA,NA,IT1728A
-0.59285489305937,-0.7227265896338175,-0.3716307670468353,NA,IT1860A
-0.3445779668923552,-0.5613745460228727,-0.3705568396160167,NA,IT1900A
NA,NA,NA,0.30352190152298864,IT1901A
NA,-0.5009678998522658,NA,NA,IT1902A
NA,NA,NA,NA,IT2064A
-0.3033420980943131,-0.5086469287687772,NA,NA,IT2066A
NA,NA,NA,NA,IT2100A
-0.24166899896662186,NA,NA,NA,IT2105A
-0.21570238472914283,-0.3915461065839406,-0.2981262683936676,-0.25398199255664033,IT2109A
NA,-0.3785147131570885,NA,NA,IT2113A
NA,NA,NA,NA,IT2114A
-0.2852959851532658,-0.45066198043208894,-0.3257535164100842,-0.30537735539077904,IT2134A
NA,-0.18807474540524294,NA,NA,IT0459A
-0.2468300751429484,-0.4330791999378578,-0.30293392613202674,NA,IT0460A
-0.2720347662588315,-0.48073964066248753,-0.4258164768102739,-0.2445054544118015,IT2177A
-0.4268174202145463,-0.5730118084870264,-0.3394659412355302,-0.17998149768256388,IT0825A
-0.38152108417163,-0.48666751804772346,-0.2780561133189208,-0.11817728101779379,IT0828A
-0.6630172765843514,-0.7374972877458398,-0.48348043123083884,-0.20142966639018045,IT0863A
-0.2795580517126368,-0.4793610061819855,-0.2632229908485827,NA,IT0865A
