lockL3,lockL4,lockL5,lockL6,station_eu_code
NA,NA,NA,NA,IT0470A
-0.2413043764088859,NA,NA,NA,IT0643A
NA,NA,NA,NA,IT1114A
-0.2478221141143514,NA,NA,NA,IT1247A
NA,NA,NA,NA,IT1509A
NA,NA,NA,NA,IT1510A
NA,NA,NA,NA,IT1519A
NA,NA,NA,NA,IT1524A
NA,NA,NA,NA,IT1529A
NA,NA,NA,NA,IT1533A
NA,NA,NA,NA,IT1676A
NA,NA,NA,NA,IT1830A
-0.3630072410858043,NA,NA,NA,IT1847A
NA,NA,NA,NA,IT1904A
NA,NA,NA,NA,IT1948A
NA,NA,NA,NA,IT1011A
NA,NA,NA,NA,IT1180A
NA,NA,NA,NA,IT1182A
NA,NA,NA,NA,IT1365A
NA,NA,NA,NA,IT1728A
NA,NA,NA,NA,IT1860A
NA,NA,NA,NA,IT1900A
NA,NA,NA,NA,IT1901A
NA,NA,NA,NA,IT2004A
0.22880010493327574,NA,NA,NA,IT2064A
NA,NA,NA,NA,IT2100A
NA,NA,NA,NA,IT2105A
0.1703904435314778,NA,NA,NA,IT2109A
NA,NA,NA,NA,IT2113A
0.4227285556663465,NA,NA,NA,IT2114A
0.362683628797005,NA,NA,NA,IT0460A
0.2230828896231256,NA,NA,NA,IT0461A
NA,NA,NA,NA,IT1361A
0.2223889663315859,0.23547454040475624,0.31080395105889336,NA,IT1773A
0.26752514869298727,NA,NA,NA,IT1795A
NA,0.22981909370466092,0.3741353231461231,NA,IT1843A
0.22181410067069018,NA,NA,NA,IT2177A
NA,-0.19261089285002608,NA,NA,IT0825A
NA,NA,NA,NA,IT0828A
NA,NA,NA,NA,IT0863A
NA,NA,NA,NA,IT0865A
NA,NA,NA,NA,IT0867A
NA,NA,NA,NA,IT0869A
NA,NA,NA,NA,IT0870A
NA,NA,NA,NA,IT0871A
NA,NA,NA,NA,IT0887A
NA,NA,NA,NA,IT0888A
NA,NA,NA,NA,IT0889A
0.1940773478475355,NA,NA,NA,IT0952A
NA,NA,NA,NA,IT0957A
NA,NA,NA,NA,IT0989A
NA,NA,NA,NA,IT0991A
NA,NA,NA,NA,IT0992A
NA,NA,NA,NA,IT1176A
NA,NA,NA,NA,IT1183A
NA,NA,NA,NA,IT1184A
NA,NA,NA,NA,IT1200A
NA,-0.1928320318598531,NA,NA,IT1836A
NA,-0.30801560449008125,-0.309490328199686,-0.26624063440649814,IT1837A
NA,-0.19529632206602277,NA,NA,IT1841A
0.2204901113183697,NA,NA,NA,IT2012A
NA,NA,NA,NA,IT2013A
NA,NA,NA,-0.27157853317815406,IT2023A
NA,NA,NA,NA,IT2172A
NA,NA,NA,NA,IT2173A
NA,NA,0.2369362008513869,NA,IT2174A
NA,NA,NA,NA,IT2175A
NA,-0.2745518808886709,NA,NA,IT2246A
NA,NA,NA,NA,IT2264A
NA,NA,NA,NA,IT1856A
NA,NA,NA,NA,IT1977A
NA,NA,NA,NA,IT1603A
NA,NA,0.24301895904705306,NA,IT1609A
NA,NA,NA,NA,IT1610A
NA,NA,NA,NA,IT1611A
NA,NA,0.2159380820750394,NA,IT1613A
NA,NA,0.25922538510005344,NA,IT1614A
NA,NA,NA,NA,IT1618A
NA,NA,NA,NA,IT1621A
NA,NA,NA,NA,IT1624A
NA,NA,NA,NA,IT1666A
NA,NA,NA,NA,IT1680A
NA,NA,NA,NA,IT1687A
NA,NA,NA,NA,IT1702A
NA,NA,NA,NA,IT1818A
NA,NA,0.29717585303691085,NA,IT1822A
NA,NA,NA,NA,IT1932A
0.21286335037208715,NA,0.2306734970904134,NA,IT2003A
NA,NA,NA,NA,IT2019A
NA,NA,NA,NA,IT2044A
0.39218019053250597,0.31118987379365004,0.34702322383568895,NA,IT2051A
NA,NA,NA,NA,IT2058A
NA,NA,NA,NA,IT2137A
NA,NA,NA,NA,IT2144A
NA,NA,NA,NA,IT2148A
0.31632191728508285,NA,0.3916344511595975,NA,IT2149A
NA,NA,0.7149839096132753,NA,IT2150A
NA,NA,NA,NA,IT2151A
NA,NA,NA,NA,IT1586A
NA,NA,NA,-0.335741355464638,IT1897A
NA,NA,0.24373985399864684,NA,IT2202A
NA,NA,NA,-0.3003446594857154,IT2204A
NA,NA,NA,NA,IT2205A
NA,NA,0.41587185225537127,NA,IT1938A
NA,NA,NA,NA,IT1940A
-0.3423350720624988,NA,NA,NA,IT1989A
NA,NA,NA,NA,IT2031A
NA,NA,NA,NA,IT2086A
NA,NA,0.5025419342702859,NA,IT2087A
NA,NA,0.26875209136130573,NA,IT2090A
NA,NA,NA,NA,IT2091A
NA,NA,NA,NA,IT2092A
NA,NA,NA,-0.33975856480763045,IT2093A
NA,NA,NA,NA,IT2110A
NA,NA,0.2917896425374096,NA,IT2112A
NA,NA,NA,NA,IT1346A
NA,NA,NA,NA,IT1888A
NA,NA,NA,NA,IT0988A
NA,NA,NA,NA,IT2233A
NA,NA,NA,NA,IT1243A
NA,NA,NA,NA,IT1269A
NA,NA,NA,NA,IT1277A
NA,NA,NA,-0.3916683462948751,IT1278A
NA,NA,0.267410643027153,NA,IT1309A
NA,NA,NA,NA,IT1347A
NA,NA,NA,NA,IT1375A
-0.32167861338972736,-0.2607080745206516,NA,NA,IT1377A
NA,NA,NA,NA,IT1378A
NA,NA,NA,NA,IT1383A
NA,NA,NA,NA,IT1397A
NA,NA,NA,NA,IT1427A
NA,NA,NA,NA,IT1576A
NA,NA,NA,NA,IT1993A
-0.1793754261119318,NA,NA,NA,IT1994A
0.8660477679647494,0.8208019983254313,0.989002159293048,0.5724860711840363,IT1998A
NA,NA,NA,NA,IT2005A
NA,NA,NA,NA,IT2008A
NA,NA,NA,NA,IT2009A
NA,NA,NA,NA,IT2010A
NA,NA,NA,NA,IT2040A
NA,NA,NA,NA,IT2059A
NA,NA,-0.2510406958491346,NA,IT2060A
NA,NA,NA,NA,IT0594A
NA,NA,NA,NA,IT0705A
NA,NA,NA,NA,IT0706A
-0.19272615188736864,NA,NA,NA,IT0707A
NA,NA,NA,NA,IT0709A
NA,NA,NA,NA,IT0740A
-0.19804051114446963,NA,NA,NA,IT0771A
NA,NA,NA,NA,IT0777A
NA,NA,NA,NA,IT0778A
NA,NA,NA,NA,IT0839A
NA,NA,NA,NA,IT0840A
NA,NA,NA,NA,IT0846A
NA,NA,NA,NA,IT0906A
-0.26164506532912923,NA,NA,NA,IT0908A
NA,NA,NA,NA,IT0912A
NA,NA,NA,NA,IT0997A
NA,NA,NA,NA,IT1010A
-0.1931036768269394,NA,NA,NA,IT1016A
NA,NA,NA,NA,IT1034A
-0.19528032712699417,NA,NA,NA,IT1104A
NA,0.3172091815632423,NA,NA,IT1153A
NA,NA,NA,NA,IT1190A
NA,NA,NA,NA,IT1286A
NA,NA,NA,NA,IT1287A
NA,NA,NA,NA,IT1294A
NA,NA,NA,NA,IT1385A
NA,NA,NA,NA,IT1388A
NA,0.41966447543804275,NA,NA,IT1392A
NA,NA,NA,NA,IT1459A
NA,NA,NA,NA,IT1463A
NA,NA,NA,NA,IT1464A
-0.2250212772981327,NA,NA,NA,IT1588A
NA,NA,NA,NA,IT1646A
NA,NA,NA,NA,IT1650A
NA,NA,NA,NA,IT1692A
NA,NA,NA,NA,IT1735A
NA,NA,NA,NA,IT1737A
NA,NA,NA,NA,IT1743A
NA,NA,NA,NA,IT1865A
NA,NA,NA,NA,IT1868A
NA,NA,NA,NA,IT1869A
NA,NA,NA,NA,IT1873A
NA,NA,NA,NA,IT1874A
NA,NA,NA,NA,IT1876A
NA,0.31295866760300894,NA,NA,IT1964A
NA,NA,NA,NA,IT1965A
NA,NA,NA,NA,IT1967A
NA,NA,NA,NA,IT2007A
NA,NA,NA,NA,IT2062A
NA,NA,NA,NA,IT2063A
NA,NA,NA,-0.2910387261096917,IT1191A
NA,NA,NA,NA,IT0499A
NA,NA,NA,NA,IT0507A
NA,NA,NA,NA,IT0508A
NA,NA,NA,NA,IT1334A
NA,NA,0.297776338113523,NA,IT1335A
NA,NA,NA,NA,IT0591A
-0.17731745176899694,NA,NA,NA,IT0703A
NA,NA,NA,NA,IT0753A
NA,NA,NA,NA,IT1037A
-0.18384062691419045,NA,NA,NA,IT1859A
NA,NA,NA,NA,IT0448A
NA,0.28897688030474833,NA,NA,IT0663A
NA,NA,NA,NA,IT0963A
NA,NA,NA,NA,IT1177A
NA,NA,NA,NA,IT1213A
NA,NA,NA,NA,IT1214A
NA,NA,NA,NA,IT1215A
NA,NA,NA,NA,IT1328A
NA,NA,NA,NA,IT1336A
0.2500283236878431,0.5821078558129822,NA,NA,IT1340A
NA,NA,NA,NA,IT1453A
NA,NA,NA,NA,IT1590A
NA,NA,NA,NA,IT1594A
NA,NA,NA,NA,IT1596A
NA,NA,NA,NA,IT1619A
NA,NA,NA,NA,IT1790A
NA,NA,NA,NA,IT1848A
NA,NA,NA,NA,IT1871A
NA,NA,NA,NA,IT1880A
NA,NA,NA,NA,IT1936A
NA,NA,NA,NA,IT2072A
NA,NA,NA,NA,IT2231A
NA,0.5850089910361109,NA,NA,IT2243A
0.26441735049529647,NA,NA,NA,IT1090A
NA,NA,NA,NA,IT1112A
NA,NA,NA,NA,IT1166A
0.30208210358707155,0.47365890133627486,NA,NA,IT1168A
NA,NA,NA,NA,IT1259A
NA,NA,NA,NA,IT2115A
0.41489510213807734,0.42817374973842126,NA,NA,IT2133A
NA,NA,NA,NA,IT2140A
0.35542353377302605,NA,NA,NA,IT2152A
0.347155849127756,NA,NA,NA,IT2169A
0.2564371070002509,NA,NA,NA,IT2170A
NA,0.2836493995551044,NA,NA,IT2182A
NA,NA,NA,NA,IT2200A
NA,NA,NA,NA,IT1026A
NA,NA,NA,NA,IT1144A
0.1501046088841933,NA,NA,NA,IT1456A
NA,NA,NA,NA,IT1457A
NA,NA,NA,NA,IT1536A
0.1598777371255764,NA,NA,NA,IT1661A
0.1817758533081737,NA,NA,NA,IT1886A
0.20990313102140234,NA,NA,NA,IT1943A
-0.16644371433282834,NA,NA,NA,IT2038A
NA,0.3811696276215728,NA,NA,IT2155A
NA,NA,NA,NA,IT0187A
NA,NA,NA,NA,IT0544A
NA,NA,NA,NA,IT0721A
NA,NA,NA,NA,IT0755A
NA,NA,NA,NA,IT0804A
NA,NA,NA,NA,IT0892A
NA,NA,NA,NA,IT0895A
NA,NA,NA,NA,IT0903A
NA,NA,NA,NA,IT1043A
NA,NA,NA,NA,IT1044A
NA,NA,NA,NA,IT1048A
NA,NA,NA,NA,IT1105A
NA,NA,NA,NA,IT1159A
NA,NA,NA,NA,IT1163A
NA,NA,NA,NA,IT1179A
NA,NA,NA,NA,IT1204A
NA,NA,NA,NA,IT1451A
NA,NA,NA,NA,IT1670A
0.5809968806186456,NA,NA,NA,IT1672A
NA,NA,NA,NA,IT1771A
NA,NA,NA,NA,IT1908A
NA,NA,NA,NA,IT1910A
NA,NA,NA,NA,IT1911A
NA,NA,NA,NA,IT1914A
NA,NA,NA,NA,IT1916A
NA,NA,NA,NA,IT1918A
NA,NA,NA,NA,IT1920A
NA,NA,NA,NA,IT1921A
