lockL3,lockL4,lockL5,lockL6,station_eu_code
-0.48969188388881657,-0.6382885119849898,-0.39953866810954763,-0.24236770495666649,IT0825A
-0.42237616274601253,-0.5437680661343998,-0.31278886706598963,NA,IT0828A
-0.6523610636272104,-0.6845317016382095,-0.3648300656349409,NA,IT0863A
-0.40748152502956814,-0.5596309905145214,NA,NA,IT0867A
-0.4219953360667399,-0.4810820090173079,NA,NA,IT0869A
NA,-0.23284450093579045,-0.5775201099455962,-0.4132931460608049,IT0870A
-0.5166794394418106,-0.6199939126701148,NA,NA,IT0871A
-0.4433292431934517,-0.5763504215594227,-0.3819351666472758,NA,IT0872A
-0.40758975749719395,-0.5348611072564222,-0.33825704771464304,NA,IT0884A
-0.5611130494861352,-0.5402011438642351,-0.3722709513158379,NA,IT0885A
-0.3480739425078154,-0.3846848604633957,NA,NA,IT0887A
-0.4244392500069514,-0.5575123288177705,NA,NA,IT0888A
-0.44711292188172735,-0.578290726835684,-0.42026746169312745,NA,IT0889A
-0.41897727156858733,-0.5632283430649947,NA,NA,IT0952A
NA,NA,NA,NA,IT0953A
-0.3888816553793114,-0.5301912129076969,NA,NA,IT0956A
NA,NA,NA,NA,IT0989A
-0.5025281485767146,-0.6745507960078865,NA,NA,IT0991A
1.2250634153577376,0.8849565985551391,NA,NA,IT0992A
-0.48861142370043975,-0.6162186190047514,NA,NA,IT1176A
-0.4547585288801932,-0.6522287197650023,-0.45468344657859106,NA,IT1183A
-0.31719599921059904,-0.46298610621608394,NA,NA,IT1184A
-0.5136501484378,-0.6217396139186755,-0.5038696302138397,NA,IT1200A
-0.5081749031550407,-0.6626524883400153,-0.38967026502705193,NA,IT1834A
-0.4472614404483014,-0.5578874087389252,-0.5067710247394637,NA,IT1835A
-0.4699220428948472,-0.6524885235213613,-0.43730343862286913,NA,IT1836A
-0.4980867024621529,-0.6162840993049512,-0.3817825708925505,NA,IT1837A
-0.49656009892921793,-0.639349809453354,-0.45166680576844376,-0.27062681799451094,IT1841A
-0.3848440152906262,-0.5155674480650458,NA,4.727586347398735,IT1906A
-0.4092388697472472,-0.40592475029735187,NA,NA,IT2012A
NA,-0.3073302675365983,NA,NA,IT2023A
-0.44503370876128,-0.5262125885379805,-0.35841030107746996,NA,IT2171A
-0.38448876571155965,-0.35932510987181354,NA,NA,IT2172A
-0.312304751910372,-0.474492460045726,NA,NA,IT2173A
-0.5104813430592995,-0.6123084705458641,NA,NA,IT2174A
-0.3335080169434177,-0.5296035501727343,NA,NA,IT2175A
