lockL3,lockL4,lockL5,lockL6,station_eu_code
NA,-0.19261089285002608,NA,NA,IT0825A
NA,NA,NA,NA,IT0828A
NA,NA,NA,NA,IT0863A
NA,NA,NA,NA,IT0865A
NA,NA,NA,NA,IT0867A
NA,NA,NA,NA,IT0869A
NA,NA,NA,NA,IT0870A
NA,NA,NA,NA,IT0871A
0.32507055366393156,NA,NA,-0.30803661038197705,IT0884A
NA,NA,NA,NA,IT0885A
NA,NA,NA,NA,IT0887A
NA,NA,NA,NA,IT0888A
NA,NA,NA,NA,IT0889A
0.1940773478475355,NA,NA,NA,IT0952A
NA,NA,NA,NA,IT0953A
NA,NA,NA,NA,IT0957A
NA,NA,NA,NA,IT0989A
NA,NA,NA,NA,IT0991A
NA,NA,NA,NA,IT0992A
NA,NA,NA,NA,IT1176A
NA,NA,NA,NA,IT1183A
NA,NA,NA,NA,IT1184A
NA,NA,NA,NA,IT1200A
NA,-0.2227128678339796,NA,NA,IT1834A
NA,NA,NA,NA,IT1835A
NA,-0.1928320318598531,NA,NA,IT1836A
NA,-0.30801560449008125,-0.309490328199686,-0.26624063440649814,IT1837A
NA,-0.19529632206602277,NA,NA,IT1841A
NA,NA,NA,NA,IT1906A
0.2204901113183697,NA,NA,NA,IT2012A
NA,NA,NA,NA,IT2013A
NA,NA,NA,-0.27157853317815406,IT2023A
NA,NA,NA,NA,IT2172A
NA,NA,NA,NA,IT2173A
NA,NA,0.2369362008513869,NA,IT2174A
NA,NA,NA,NA,IT2175A
NA,-0.2745518808886709,NA,NA,IT2246A
NA,NA,NA,NA,IT2264A
