giorno;ora;Nome Stazione;Preneste;Francia;Magna Grecia;Cinecittà;Colleferro Oberdan;Colleferro Europa;Allumiere;Civitavecchia;Guidonia;Ada;Guido;Cavaliere;Ciampino;Fermi;Bufalotta;Cipro;Tiburtina;Arenula;Malagrotta;Civitavecchia Porto;Civitavecchia Villa Albani;Civitavecchia Via Morandi;Civitavecchia Via Roma;Fiumicino Porto;Fiumicino Villa Guglielmi;Aurelia;S.Agostino;Fiumaretta;Faro;CampoOro;S.Gordiano;Allumiere-AldoMoro;Tolfa;S.Marinella;Tarquinia;MonteRomano;Ceccano;Ferentino;Anagni;Alatri;Fontechiari;Cassino;Frosinone Scalo;Mazzini;LT-Tasso;Aprilia 2;Latina Scalo;Gaeta Porto;LT-De Chirico;Viterbo;Acquapendente;Civita Castellana Petrarca;Rieti 1;Leonessa
;;Cod. Stazione;1205875;1205802;1205810;1205804;1205806;1205807;1205801;1205805;1205808;1205820;1205803;1205817;1205886;1205882;1205884;1205883;1205885;1205887;1205888;1205823;1205890;1205824;1205889;1205891;1205892;1205893;1205894;1205895;1205896;1205897;1205898;1205899;1205821;1205822;1205606;1205607;1206003;1206004;1206002;1206001;1206005;1205878;1205874;1206008;1205906;1205902;1205873;1205907;1205905;1205602;1205604;1205601;1205702;1205701
;;Cod. EU Stazione;IT1176A;IT0825A;IT0828A;IT0956A;IT0888A;IT0889A;IT0884A;IT0885A;IT0887A;IT0953A;IT0952A;IT0957A;IT1841A;IT1837A;IT1835A;IT1836A;IT1834A;IT1906A;IT2012A;IT2264A;IT2172A;IT2265A;IT2171A;IT2246A;IT2247A;IT2248A;IT2249A;IT2250A;IT2251A;IT2252A;IT2253A;IT2254A;IT2255A;IT2258A;IT2256A;IT2257A;IT0872A;IT0871A;IT0870A;IT0991A;IT0992A;IT1183A;IT1200A;IT2013A;IT0869A;IT0865A;IT1184A;IT2173A;IT0868A;IT0863A;IT2023A;IT0864A;IT0867A;IT0989A
01/01/2020;1;;55;40;80;-999;22;40;1;48;38;41;17;40;47;65;-999;53;63;60;48;33;34;30;67;45;68;4;3;8;9;28;24;10;4;-999;-999;6;38;23;25;32;7;56;55;45;43;45;27;62;53;13;6;34;31;33
01/01/2020;2;;50;49;66;53;28;39;5;46;33;34;22;33;45;50;46;53;58;56;39;43;41;29;81;47;61;4;2;29;9;-999;31;6;7;-999;-999;5;33;24;51;37;9;56;57;41;43;32;43;83;61;32;7;32;20;37
01/01/2020;3;;46;52;67;51;24;37;4;59;40;34;16;33;48;48;45;51;57;55;35;59;71;19;97;43;-999;5;2;16;9;23;25;5;5;-999;-999;5;31;26;27;41;10;48;51;34;55;44;44;85;71;23;7;33;23;26
01/01/2020;4;;-999;-999;-999;48;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;42;-999;-999;-999;-999;-999;-999;17;-999;-999;60;-999;-999;-999;-999;-999;27;6;-999;-999;-999;-999;33;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
01/01/2020;5;;47;46;61;48;29;34;16;36;44;32;21;36;55;48;40;37;58;52;45;23;23;-999;47;26;50;4;1;8;7;7;15;4;4;-999;-999;5;27;32;23;25;9;43;40;53;29;71;45;61;54;4;7;28;35;18
01/01/2020;6;;44;37;60;45;21;33;10;24;35;26;17;32;44;42;38;37;54;48;37;14;20;16;43;39;52;3;1;6;5;8;14;4;3;-999;-999;5;-999;21;21;17;4;38;37;43;22;51;29;67;42;4;6;28;21;10
01/01/2020;7;;43;33;58;45;16;27;11;35;24;26;13;28;30;41;39;38;51;51;41;13;28;10;47;40;51;3;1;6;6;7;12;3;2;-999;-999;5;26;14;17;18;6;34;36;32;20;20;29;51;44;3;6;26;26;10
01/01/2020;8;;42;31;58;42;13;28;8;35;27;25;18;29;28;41;37;43;48;54;39;30;32;13;56;39;50;5;1;6;8;6;11;4;2;-999;-999;5;23;13;22;20;5;28;32;34;9;16;33;43;42;3;8;25;27;11
