giorno;ora;Nome Stazione;Preneste;Francia;Magna Grecia;Cinecittà;Colleferro Oberdan;Colleferro Europa;Allumiere;Civitavecchia;Guidonia;Ada;Guido;Cavaliere;Ciampino;Fermi;Bufalotta;Cipro;Tiburtina;Arenula;Malagrotta;Civitavecchia Porto;Civitavecchia Villa Albani;Civitavecchia Via Morandi;Civitavecchia Via Roma;Fiumicino Porto;Fiumicino Villa Guglielmi;Aurelia;S.Agostino;Fiumaretta;Faro;CampoOro;S.Gordiano;Allumiere-AldoMoro;Tolfa;S.Marinella;Tarquinia;MonteRomano;Ceccano;Ferentino;Anagni;Alatri;Fontechiari;Cassino;Frosinone Scalo;Mazzini;LT-Tasso;Aprilia 2;Latina Scalo;Gaeta Porto;LT-De Chirico;Viterbo;Acquapendente;Civita Castellana Petrarca;Rieti 1;Leonessa
;;Cod. Stazione;1205875;1205802;1205810;1205804;1205806;1205807;1205801;1205805;1205808;1205820;1205803;1205817;1205886;1205882;1205884;1205883;1205885;1205887;1205888;1205823;1205890;1205824;1205889;1205891;1205892;1205893;1205894;1205895;1205896;1205897;1205898;1205899;1205821;1205822;1205606;1205607;1206003;1206004;1206002;1206001;1206005;1205878;1205874;1206008;1205906;1205902;1205873;1205907;1205905;1205602;1205604;1205601;1205702;1205701
;;Cod. EU Stazione;IT1176A;IT0825A;IT0828A;IT0956A;IT0888A;IT0889A;IT0884A;IT0885A;IT0887A;IT0953A;IT0952A;IT0957A;IT1841A;IT1837A;IT1835A;IT1836A;IT1834A;IT1906A;IT2012A;IT2264A;IT2172A;IT2265A;IT2171A;IT2246A;IT2247A;IT2248A;IT2249A;IT2250A;IT2251A;IT2252A;IT2253A;IT2254A;IT2255A;IT2258A;IT2256A;IT2257A;IT0872A;IT0871A;IT0870A;IT0991A;IT0992A;IT1183A;IT1200A;IT2013A;IT0869A;IT0865A;IT1184A;IT2173A;IT0868A;IT0863A;IT2023A;IT0864A;IT0867A;IT0989A
01/01/2020;1;;243;136;294;-999;50;88;1;72;72;101;19;96;96;255;-999;175;277;122;95;48;42;34;136;92;125;4;7;9;13;48;31;22;5;-999;-999;7;133;27;33;63;9;145;228;84;73;54;50;122;100;15;8;57;71;46
01/01/2020;2;;236;198;224;182;95;83;6;72;101;91;29;72;95;96;85;155;241;107;55;66;55;46;190;76;100;4;6;35;13;-999;42;9;9;-999;-999;6;145;31;81;89;11;191;278;56;90;34;110;276;128;52;9;52;29;53
01/01/2020;3;;193;230;187;163;98;114;5;113;98;89;20;85;109;89;104;139;221;113;47;116;136;27;326;57;-999;6;5;19;12;30;31;8;6;-999;-999;6;146;40;32;93;11;164;206;54;167;66;113;273;215;31;8;59;38;35
01/01/2020;4;;-999;-999;-999;151;-999;-999;-999;-999;-999;-999;34;-999;-999;-999;92;-999;-999;-999;-999;-999;-999;23;-999;-999;98;-999;-999;-999;-999;-999;36;8;-999;-999;-999;-999;130;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1;-999;-999;-999;-999
01/01/2020;5;;146;165;123;164;77;108;17;42;113;93;23;63;112;79;76;51;220;84;62;26;30;-999;69;28;72;4;5;9;8;11;18;5;4;-999;-999;5;120;34;28;41;11;163;173;62;35;139;57;128;77;3;9;48;84;24
01/01/2020;6;;124;126;174;145;52;69;12;26;63;77;19;45;59;77;78;57;231;89;51;14;27;19;64;58;97;3;4;7;5;12;17;5;3;-999;-999;5;-999;22;24;24;5;127;119;65;24;91;40;144;51;4;7;44;31;14
01/01/2020;7;;133;98;158;121;43;83;13;39;36;76;14;40;39;99;84;70;202;129;66;15;35;10;66;101;129;3;4;7;6;11;14;4;2;-999;-999;5;84;14;18;28;8;136;126;35;25;22;40;95;51;3;7;36;44;13
01/01/2020;8;;130;106;139;101;32;67;8;39;45;77;20;40;39;119;108;102;199;163;56;40;43;13;78;79;124;5;4;7;9;9;16;5;2;-999;-999;6;75;13;28;37;6;128;136;43;9;18;55;75;48;3;10;33;62;13
