giorno;Nome Stazione;Preneste;Francia;Magna Grecia;Cinecittà;Colleferro Oberdan;Colleferro Europa;Allumiere;Civitavecchia;Guidonia;Ada;Guido;Cavaliere;Ciampino;Fermi;Bufalotta;Cipro;Tiburtina;Arenula;Malagrotta;Civitavecchia Porto;Civitavecchia Villa Albani;Civitavecchia Via Morandi;Civitavecchia Via Roma;Fiumicino Porto;Fiumicino Villa Guglielmi;Aurelia;S.Agostino;Fiumaretta;Faro;CampoOro;S.Gordiano;Allumiere-AldoMoro;Tolfa;S.Marinella;Tarquinia;MonteRomano;Ceccano;Ferentino;Anagni;Alatri;Fontechiari;Cassino;Frosinone Scalo;Mazzini;LT-Tasso;Aprilia 2;Latina Scalo;Gaeta Porto;LT-De Chirico;Viterbo;Acquapendente;Civita Castellana Petrarca;Rieti 1;Leonessa
;Cod. Stazione;1205875;1205802;1205810;1205804;1205806;1205807;1205801;1205805;1205808;1205820;1205803;1205817;1205886;1205882;1205884;1205883;1205885;1205887;1205888;1205823;1205890;1205824;1205889;1205891;1205892;1205893;1205894;1205895;1205896;1205897;1205898;1205899;1205821;1205822;1205606;1205607;1206003;1206004;1206002;1206001;1206005;1205878;1205874;1206008;1205906;1205902;1205873;1205907;1205905;1205602;1205604;1205601;1205702;1205701
;Cod. EU Stazione;IT1176A;IT0825A;IT0828A;IT0956A;IT0888A;IT0889A;IT0884A;IT0885A;IT0887A;IT0953A;IT0952A;IT0957A;IT1841A;IT1837A;IT1835A;IT1836A;IT1834A;IT1906A;IT2012A;IT2264A;IT2172A;IT2265A;IT2171A;IT2246A;IT2247A;IT2248A;IT2249A;IT2250A;IT2251A;IT2252A;IT2253A;IT2254A;IT2255A;IT2258A;IT2256A;IT2257A;IT0872A;IT0871A;IT0870A;IT0991A;IT0992A;IT1183A;IT1200A;IT2013A;IT0869A;IT0865A;IT1184A;IT2173A;IT0868A;IT0863A;IT2023A;IT0864A;IT0867A;IT0989A
01/01/2020;;140;66;89;111;49;102;6;33;62;60;36;66;128;90;90;75;102;68;80;24;21;-999;-999;36;63;7;13;-999;23;24;27;30;9;-999;-999;15;146;64;24;68;27;159;134;66;65;48;46;67;53;18;23;38;53;30
02/01/2020;;76;50;76;75;51;-999;14;32;50;53;33;45;64;75;68;59;85;61;57;21;26;-999;-999;38;48;6;13;18;15;17;18;32;23;-999;-999;17;128;65;29;55;27;132;113;59;49;47;50;40;46;22;17;37;46;21
03/01/2020;;69;54;59;73;54;78;12;22;46;52;34;53;57;70;62;57;79;60;51;29;19;-999;-999;32;42;4;17;17;20;15;20;20;10;-999;-999;16;132;66;24;62;33;129;127;66;63;43;57;54;56;24;26;50;43;29
04/01/2020;;66;47;61;63;53;67;13;19;46;44;30;51;50;63;55;52;75;51;52;21;20;-999;-999;29;45;5;13;17;20;13;15;11;8;-999;-999;13;179;70;32;78;48;168;173;89;71;40;59;66;59;25;16;35;40;19
05/01/2020;;46;32;36;34;25;35;8;15;26;30;15;24;50;34;31;31;43;32;24;16;12;-999;-999;24;23;5;11;12;16;12;14;21;11;-999;-999;-999;77;36;12;12;14;101;81;26;39;25;25;21;32;15;15;57;28;10
06/01/2020;;18;13;15;15;14;39;6;8;15;11;9;-999;24;17;12;10;20;14;14;9;7;-999;-999;15;14;6;8;8;9;9;11;15;6;-999;-999;-999;49;20;13;32;9;39;38;14;33;27;24;17;23;10;15;15;27;7
07/01/2020;;36;38;46;58;42;86;10;38;41;36;27;-999;68;45;44;35;65;43;55;7;38;-999;-999;22;37;12;15;15;16;14;35;32;11;-999;-999;-999;113;54;32;63;24;95;101;46;53;40;43;33;41;23;23;10;49;16
08/01/2020;;59;54;65;67;54;97;13;25;47;50;29;-999;74;64;64;56;76;59;45;31;32;-999;-999;25;35;15;18;18;23;14;33;34;15;-999;-999;22;129;64;34;54;28;92;116;59;53;41;45;24;52;26;24;56;45;11
