giorno;Nome Stazione;Preneste;Francia;Magna Grecia;Cinecittà;Colleferro Oberdan;Colleferro Europa;Allumiere;Civitavecchia;Guidonia;Ada;Guido;Cavaliere;Ciampino;Fermi;Bufalotta;Cipro;Tiburtina;Arenula;Malagrotta;Civitavecchia Porto;Civitavecchia Villa Albani;Civitavecchia Via Morandi;Civitavecchia Via Roma;Fiumicino Porto;Fiumicino Villa Guglielmi;Aurelia;S.Agostino;Fiumaretta;Faro;CampoOro;S.Gordiano;Allumiere-AldoMoro;Tolfa;S.Marinella;Tarquinia;MonteRomano;Ceccano;Ferentino;Anagni;Alatri;Fontechiari;Cassino;Frosinone Scalo;Mazzini;LT-Tasso;Aprilia 2;Latina Scalo;Gaeta Porto;LT-De Chirico;Viterbo;Acquapendente;Civita Castellana Petrarca;Rieti 1;Leonessa
;Cod. Stazione;1205875;1205802;1205810;1205804;1205806;1205807;1205801;1205805;1205808;1205820;1205803;1205817;1205886;1205882;1205884;1205883;1205885;1205887;1205888;1205823;1205890;1205824;1205889;1205891;1205892;1205893;1205894;1205895;1205896;1205897;1205898;1205899;1205821;1205822;1205606;1205607;1206003;1206004;1206002;1206001;1206005;1205878;1205874;1206008;1205906;1205902;1205873;1205907;1205905;1205602;1205604;1205601;1205702;1205701
;Cod. EU Stazione;IT1176A;IT0825A;IT0828A;IT0956A;IT0888A;IT0889A;IT0884A;IT0885A;IT0887A;IT0953A;IT0952A;IT0957A;IT1841A;IT1837A;IT1835A;IT1836A;IT1834A;IT1906A;IT2012A;IT2264A;IT2172A;IT2265A;IT2171A;IT2246A;IT2247A;IT2248A;IT2249A;IT2250A;IT2251A;IT2252A;IT2253A;IT2254A;IT2255A;IT2258A;IT2256A;IT2257A;IT0872A;IT0871A;IT0870A;IT0991A;IT0992A;IT1183A;IT1200A;IT2013A;IT0869A;IT0865A;IT1184A;IT2173A;IT0868A;IT0863A;IT2023A;IT0864A;IT0867A;IT0989A
01/01/2020;;-999;50;-999;90;-999;89;-999;-999;52;50;34;59;-999;-999;-999;62;-999;60;71;-999;-999;-999;-999;-999;54;-999;12;-999;20;20;-999;22;-999;-999;-999;-999;-999;58;-999;-999;23;134;-999;58;-999;-999;37;-999;-999;16;22;-999;54;26
02/01/2020;;-999;34;-999;58;-999;-999;-999;-999;40;44;28;38;-999;-999;-999;39;-999;46;48;-999;-999;-999;-999;-999;38;-999;12;15;10;12;-999;22;-999;-999;-999;-999;-999;60;-999;-999;23;111;-999;52;-999;-999;36;-999;-999;18;16;-999;44;17
03/01/2020;;-999;34;-999;55;-999;67;-999;-999;36;41;29;44;-999;-999;-999;41;-999;45;43;-999;-999;-999;-999;-999;33;-999;15;13;12;11;-999;13;-999;-999;-999;-999;-999;60;-999;-999;30;104;-999;57;-999;-999;43;-999;-999;19;23;-999;35;23
04/01/2020;;-999;32;-999;50;-999;58;-999;-999;36;38;26;43;-999;-999;-999;37;-999;43;43;-999;-999;-999;-999;-999;34;-999;12;12;11;9;-999;7;-999;-999;-999;-999;-999;64;-999;-999;39;142;-999;78;-999;-999;47;-999;-999;20;15;-999;40;17
05/01/2020;;-999;21;-999;27;-999;32;-999;-999;17;21;13;20;-999;-999;-999;22;-999;25;21;-999;-999;-999;-999;-999;20;-999;10;9;12;9;-999;16;-999;-999;-999;-999;-999;32;-999;-999;10;83;-999;22;-999;-999;18;-999;-999;12;14;-999;26;9
06/01/2020;;-999;7;-999;10;-999;33;-999;-999;11;7;7;-999;-999;-999;-999;6;-999;8;11;-999;-999;-999;-999;-999;8;-999;5;5;6;6;-999;12;-999;-999;-999;-999;-999;17;-999;-999;8;29;-999;10;-999;-999;17;-999;-999;7;13;-999;24;5
07/01/2020;;-999;24;-999;40;-999;67;-999;-999;29;23;21;-999;-999;-999;-999;25;-999;27;44;-999;-999;-999;-999;-999;23;-999;12;9;10;9;-999;25;-999;-999;-999;-999;-999;47;-999;-999;20;80;-999;37;-999;-999;30;-999;-999;18;19;-999;29;13
08/01/2020;;-999;38;-999;52;-999;77;-999;-999;36;35;23;-999;-999;-999;-999;37;-999;40;37;-999;-999;-999;-999;-999;25;-999;14;12;18;10;-999;24;-999;-999;-999;-999;-999;57;-999;-999;22;67;-999;50;-999;-999;32;-999;-999;20;23;-999;40;9
