"data","station_eu_code","value"
2020-01-01,"IT1176A",9.875
2020-01-02,"IT1176A",23.5833333333333
2020-01-03,"IT1176A",18.2083333333333
2020-01-04,"IT1176A",9.70833333333333
2020-01-05,"IT1176A",4.125
2020-01-06,"IT1176A",-1.20833333333333
2020-01-07,"IT1176A",19.9166666666667
2020-01-08,"IT1176A",21.6666666666667
2020-01-09,"IT1176A",25
2020-01-10,"IT1176A",22.5
2020-01-11,"IT1176A",17.25
2020-01-12,"IT1176A",12.6666666666667
2020-01-13,"IT1176A",20.0833333333333
2020-01-14,"IT1176A",22
2020-01-15,"IT1176A",22.4166666666667
2020-01-16,"IT1176A",14.5833333333333
2020-01-17,"IT1176A",16.7916666666667
2020-01-18,"IT1176A",8.95833333333333
2020-01-19,"IT1176A",0.916666666666667
2020-01-20,"IT1176A",9.66666666666667
2020-01-21,"IT1176A",7.625
2020-01-22,"IT1176A",15.0416666666667
2020-01-23,"IT1176A",15.875
2020-01-24,"IT1176A",17.7916666666667
2020-01-25,"IT1176A",6.45833333333333
2020-01-26,"IT1176A",2.25
2020-01-27,"IT1176A",4.16666666666667
2020-01-28,"IT1176A",-1.66666666666667
2020-01-29,"IT1176A",8.29166666666667
2020-01-30,"IT1176A",-383.708333333333
2020-01-31,"IT1176A",15
2020-02-01,"IT1176A",15.5
2020-02-02,"IT1176A",-5.04166666666667
2020-02-03,"IT1176A",2.75
2020-02-04,"IT1176A",-7.95833333333333
2020-02-05,"IT1176A",-18.25
2020-02-06,"IT1176A",-8.58333333333333
2020-02-07,"IT1176A",10.4583333333333
2020-02-08,"IT1176A",14.7916666666667
2020-02-09,"IT1176A",-5.04166666666667
2020-02-10,"IT1176A",0.958333333333333
2020-02-11,"IT1176A",-2.20833333333333
2020-02-12,"IT1176A",5.875
2020-02-13,"IT1176A",-1.75
2020-02-14,"IT1176A",-3.20833333333333
2020-02-15,"IT1176A",6.91666666666667
2020-02-16,"IT1176A",4.45833333333333
2020-02-17,"IT1176A",-332.5
2020-02-18,"IT1176A",53.5416666666667
2020-02-19,"IT1176A",52.3333333333333
2020-02-20,"IT1176A",16.875
2020-02-21,"IT1176A",12.125
2020-02-22,"IT1176A",7.58333333333333
2020-02-23,"IT1176A",1.79166666666667
2020-02-24,"IT1176A",-5.33333333333333
