"date","reporting_year","station_eu_code","value","mese","stagione","station_code","t2m","tmin2m","tmax2m","tp","ptp","rh","u10m","v10m","wspeed","wspeed_max","pwspeed","wdir","sp","nirradiance","pbl00","pbl12","pblmin","pblmax","coordx","coordy","altitude","altitudedem","jd"
2016-01-01,2016,"IT1906A",60.6521739130435,1,"inverno",1205887,8.9,7.1,11.5,0.3,0.1,87.8,-1.5,0.1,1.50332963783729,1.32985109544769,1.36014705087354,93.8140748342904,1015.8,39.5,0.05,0.37,0.05,0.6,788311,4643837,31,19,1095
2016-01-02,2016,"IT1906A",59.4782608695652,1,"inverno",1205887,9.2,6.7,11.4,7.8,0.3,88.9,-2.5,1.7,3.0232432915662,1.86496511679864,1.50332963783729,124.215702132437,1009.4,16.6,0.06,0.4,0.06,0.55,788311,4643837,31,19,1096
2016-01-03,2016,"IT1906A",45.1739130434783,1,"inverno",1205887,9.9,5.8,11.8,10.5,7.8,92.2,1.6,-0.6,1.70880074906351,2.14844808950996,3.0232432915662,290.556045219583,998.8,53.8,0.42,0.74,0.03,0.86,788311,4643837,31,19,1097
2016-01-04,2016,"IT1906A",62.5217391304348,1,"inverno",1205887,9.8,6.2,12.9,12,10.5,93.6,0.1,1.2,1.20415945787923,1.33482288723056,1.70880074906351,184.763641690726,992.1,11.7,0.06,0.46,0.06,0.46,788311,4643837,31,19,1098
2016-01-05,2016,"IT1906A",62,1,"inverno",1205887,10.1,8.7,12.1,3.7,12,94.5,-0.8,0.2,0.824621125123532,3.21613984447458,1.20415945787923,104.036243467926,991.1,15,0.1,0.09,0.02,0.11,788311,4643837,31,19,1099
2016-01-06,2016,"IT1906A",44.7826086956522,1,"inverno",1205887,9.4,6,11.2,11.6,3.7,92.5,1.6,0.4,1.64924225024706,1.88668805901985,0.824621125123532,255.963756532074,991.9,50.7,0.05,0.65,0.05,1.09,788311,4643837,31,19,1100
2016-01-07,2016,"IT1906A",53.4347826086956,1,"inverno",1205887,8.3,3.7,11.9,0.3,11.6,88.3,-0.7,0.1,0.707106781186547,3.02791068052843,1.64924225024706,98.130102354156,996.3,74.5,0.05,0.28,0.03,0.41,788311,4643837,31,19,1101
2016-01-08,2016,"IT1906A",48.5217391304348,1,"inverno",1205887,12.1,7.7,15.4,0.7,0.3,92,-1.5,1.7,2.26715680975093,2.01180892727362,0.707106781186547,138.576334374997,1000.5,42.2,0.07,0.55,0.04,0.68,788311,4643837,31,19,1102
2016-01-09,2016,"IT1906A",29.7826086956522,1,"inverno",1205887,13.5,12.1,15.7,0.6,0.7,92.2,-2.2,3,3.72021504754765,5.05830607569853,2.26715680975093,143.746162262555,1001.2,49.1,0.31,0.8,0.19,0.92,788311,4643837,31,19,1103
2016-01-10,2016,"IT1906A",33.7826086956522,1,"inverno",1205887,13.9,12.5,15.8,8.1,0.6,90,1.1,2.9,3.10161248385416,1.23929822083973,3.72021504754765,200.772254682046,1000.1,66.8,0.31,0.93,0.21,1.12,788311,4643837,31,19,1104
