"data","variable","value"
2020-01-01,"IT1176A",142.5
2020-01-02,"IT1176A",278.666666666667
2020-01-03,"IT1176A",226.25
2020-01-04,"IT1176A",181.291666666667
2020-01-05,"IT1176A",55.9583333333333
2020-01-06,"IT1176A",8.95833333333333
2020-01-07,"IT1176A",181.25
2020-01-08,"IT1176A",221.916666666667
2020-01-09,"IT1176A",285.333333333333
2020-01-10,"IT1176A",233.583333333333
2020-01-11,"IT1176A",179.833333333333
2020-01-12,"IT1176A",123.375
2020-01-13,"IT1176A",185.958333333333
2020-01-14,"IT1176A",133.166666666667
2020-01-15,"IT1176A",173.708333333333
2020-01-16,"IT1176A",182.833333333333
2020-01-17,"IT1176A",155.625
2020-01-18,"IT1176A",52.0833333333333
2020-01-19,"IT1176A",29.625
2020-01-20,"IT1176A",36.1666666666667
2020-01-21,"IT1176A",42.0833333333333
2020-01-22,"IT1176A",120.791666666667
2020-01-23,"IT1176A",132.083333333333
2020-01-24,"IT1176A",132.125
2020-01-25,"IT1176A",73.2916666666667
2020-01-26,"IT1176A",62.0416666666667
2020-01-27,"IT1176A",64.875
2020-01-28,"IT1176A",11.2916666666667
2020-01-29,"IT1176A",125.25
2020-01-30,"IT1176A",-313.625
2020-01-31,"IT1176A",90.5
2020-02-01,"IT1176A",93.7083333333333
2020-02-02,"IT1176A",15.5416666666667
2020-02-03,"IT1176A",58.9583333333333
2020-02-04,"IT1176A",27.0833333333333
2020-02-05,"IT1176A",-14.125
2020-02-06,"IT1176A",-0.75
2020-02-07,"IT1176A",67.1666666666667
2020-02-08,"IT1176A",90.5833333333333
2020-02-09,"IT1176A",20.375
2020-02-10,"IT1176A",13.4166666666667
2020-02-11,"IT1176A",39.9583333333333
2020-02-12,"IT1176A",103.916666666667
2020-02-13,"IT1176A",38.25
2020-02-14,"IT1176A",9.875
2020-02-15,"IT1176A",49.125
2020-02-16,"IT1176A",32.25
2020-02-17,"IT1176A",-289.291666666667
2020-02-18,"IT1176A",91.375
2020-02-19,"IT1176A",102.666666666667
2020-02-20,"IT1176A",70.125
2020-02-21,"IT1176A",85.4583333333333
2020-02-22,"IT1176A",40.9166666666667
2020-02-23,"IT1176A",23.2916666666667
2020-02-24,"IT1176A",5.58333333333333
