"data","variable","value"
2020-01-01,"IT1176A",9.79166666666667
2020-01-02,"IT1176A",5.125
2020-01-03,"IT1176A",5.20833333333333
2020-01-04,"IT1176A",5.25
2020-01-05,"IT1176A",11.25
2020-01-06,"IT1176A",29.3333333333333
2020-01-07,"IT1176A",11.1666666666667
2020-01-08,"IT1176A",8.45833333333333
2020-01-09,"IT1176A",6.79166666666667
2020-01-10,"IT1176A",6.45833333333333
2020-01-11,"IT1176A",8.29166666666667
2020-01-12,"IT1176A",11.75
2020-01-13,"IT1176A",8.5
2020-01-14,"IT1176A",8.83333333333333
2020-01-15,"IT1176A",9.58333333333333
2020-01-16,"IT1176A",8.5
2020-01-17,"IT1176A",7.33333333333333
2020-01-18,"IT1176A",10.75
2020-01-19,"IT1176A",13.5833333333333
2020-01-20,"IT1176A",16.2916666666667
2020-01-21,"IT1176A",19.125
2020-01-22,"IT1176A",13.8333333333333
2020-01-23,"IT1176A",10.2916666666667
2020-01-24,"IT1176A",6.625
2020-01-25,"IT1176A",17.5
2020-01-26,"IT1176A",15.75
2020-01-27,"IT1176A",12.3333333333333
2020-01-28,"IT1176A",26
2020-01-29,"IT1176A",13.9166666666667
2020-01-30,"IT1176A",-331.041666666667
2020-01-31,"IT1176A",11.125
2020-02-01,"IT1176A",2.5
2020-02-02,"IT1176A",20.4166666666667
2020-02-03,"IT1176A",12.625
2020-02-04,"IT1176A",33.75
2020-02-05,"IT1176A",53.1666666666667
2020-02-06,"IT1176A",46.9166666666667
2020-02-07,"IT1176A",21.3333333333333
2020-02-08,"IT1176A",18.4583333333333
2020-02-09,"IT1176A",37.7083333333333
2020-02-10,"IT1176A",28.5833333333333
2020-02-11,"IT1176A",32.2916666666667
2020-02-12,"IT1176A",16.7083333333333
2020-02-13,"IT1176A",28.7083333333333
2020-02-14,"IT1176A",41.75
2020-02-15,"IT1176A",28.625
2020-02-16,"IT1176A",28.2083333333333
2020-02-17,"IT1176A",22.4583333333333
2020-02-18,"IT1176A",21.2916666666667
2020-02-19,"IT1176A",15.25
2020-02-20,"IT1176A",-999
2020-02-21,"IT1176A",21.5
2020-02-22,"IT1176A",30
2020-02-23,"IT1176A",32.3333333333333
2020-02-24,"IT1176A",44.5833333333333
2020-02-25,"IT1176A",60.2083333333333
2020-02-26,"IT1176A",65.2083333333333
2020-02-27,"IT1176A",41.625
2020-02-28,"IT1176A",46.1666666666667
2020-02-29,"IT1176A",50.3333333333333
2020-03-01,"IT1176A",73.5833333333333
2020-03-02,"IT1176A",62.0833333333333
2020-03-03,"IT1176A",59.5416666666667
2020-03-04,"IT1176A",37.125
